US_Metro_Area_Code,US_Metro_Area_Name,Year,Percent_College_Graduates,Percent_White,Population,Region
3840,"Knoxville, TN",1980,0.170657098,0.923085809,476496,3
3840,"Knoxville, TN",1990,0.191582486,0.929464519,604816,3
3840,"Knoxville, TN",2000,0.227247775,0.920422494,713116,3
3850,"Kokomo, IN",1970,,,0,2
3850,"Kokomo, IN",1980,0.105346993,0.948840559,103715,2
3850,"Kokomo, IN",1990,0.135660961,0.94251442,96946,2
3850,"Kokomo, IN",2000,0.171382412,0.918909609,101541,2
3870,"La Crosse, WI-MN",1970,,,0,2
3870,"La Crosse, WI-MN",1980,0.173625052,0.990050197,91009,2
3870,"La Crosse, WI-MN",1990,0.210818291,0.961360097,97904,2
3870,"La Crosse, WI-MN",2000,0.253895789,0.94644326,107120,2
3880,"Lafayette, LA",1970,0.135300323,0.782046378,109716,3
3880,"Lafayette, LA",1980,0.205325797,0.787544072,149993,3
3880,"Lafayette, LA",1990,0.1921691,0.738310814,208740,3
3880,"Lafayette, LA",2000,0.220308647,0.723710299,239086,3
3920,"Lafayette, IN",1970,0.205966949,0.982958198,109378,2
3920,"Lafayette, IN",1980,0.255298346,0.96497184,121693,2
3920,"Lafayette, IN",1990,0.306834608,0.935619235,130598,2
3920,"Lafayette, IN",2000,0.331568867,0.895988703,148955,2
3960,"Lake Charles, LA",1970,0.090512052,0.782699287,145416,3
3960,"Lake Charles, LA",1980,0.135647967,0.775186419,167120,3
3960,"Lake Charles, LA",1990,0.146539509,0.763336182,168134,3
3960,"Lake Charles, LA",2000,0.168614656,0.74187398,183577,3
3980,"Lakeland-Winter Haven, FL",1970,0.104666628,0.881249428,92488,3
3980,"Lakeland-Winter Haven, FL",1980,0.11418768,0.82823354,321603,3
3980,"Lakeland-Winter Haven, FL",1990,0.128543526,0.844428599,405383,3
3980,"Lakeland-Winter Haven, FL",2000,0.149196222,0.803634465,483924,3
4000,"Lancaster, PA",1970,0.082442425,0.982076466,319692,1
4000,"Lancaster, PA",1980,0.129899681,0.959872484,362295,1
4000,"Lancaster, PA",1990,0.166789457,0.941878498,422822,1
4000,"Lancaster, PA",2000,0.205085576,0.920957446,470658,1
4040,"Lansing-East Lansing, MI",1970,0.14930284,0.95500803,378423,2
4040,"Lansing-East Lansing, MI",1980,0.21651727,0.914432168,419687,2
4040,"Lansing-East Lansing, MI",1990,0.246616453,0.88225776,432674,2
4040,"Lansing-East Lansing, MI",2000,0.28378284,0.854326725,447728,2
4080,"Laredo, TX",1970,0.068975098,0.994907916,72858,3
4080,"Laredo, TX",1980,0.098479547,0.914011121,99247,3
4080,"Laredo, TX",1990,0.111093178,0.704623222,133240,3
4080,"Laredo, TX",2000,0.139273778,0.843535244,193117,3
4100,"Las Cruces, NM",1970,0.154321209,0.981373668,65606,4
